Agent_id,lost_reason,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget,status
62,21,199,297,163,20,3,18,8,5,24743,5,5,0
18,29,164,4173,4,20,3,84,8,5,18639,5,5,0
37,30,126,2884,0,20,3,87,8,3,11012,2,4,1
63,16,126,2921,163,20,3,194,8,0,8201,2,5,0
20,15,280,1503,33,20,3,133,8,3,11674,1,0,0
104,29,126,3868,163,20,3,35,8,0,26404,1,6,0
47,9,126,2943,167,20,3,87,8,1,6680,2,5,0
79,30,280,1574,163,20,3,174,8,1,7259,2,0,1
25,30,280,2074,163,20,3,174,8,0,12560,1,4,1
20,15,280,1407,136,20,3,7,8,0,18642,1,0,0
20,15,232,21,99,20,3,133,8,5,20055,5,5,0
20,17,127,2943,167,20,3,132,8,5,10473,5,5,0
25,30,126,2230,163,20,3,151,8,0,19814,1,5,1
39,21,126,2173,99,20,3,35,8,3,21199,5,5,0
57,11,126,305,145,20,3,151,8,3,19536,2,4,0
91,16,126,2574,163,20,3,160,8,0,18838,2,4,0
80,20,199,1989,99,20,3,84,8,5,5179,5,5,0
10,0,127,491,163,3,3,160,8,5,10032,5,5,0
28,30,126,2534,163,20,3,73,8,0,18873,2,5,1
103,20,126,2605,99,20,3,18,8,3,25991,1,4,0
91,20,126,142,163,20,3,26,8,3,4834,1,4,0
20,15,164,2127,163,20,30,133,8,5,6336,5,5,0
4,16,126,2943,167,20,3,35,8,0,9254,1,5,0
111,21,126,1106,163,20,3,109,8,1,22390,1,5,0
20,15,258,2738,176,9,3,69,8,5,23519,1,5,0
17,25,127,2943,167,17,35,84,8,5,15742,5,5,0
104,25,126,2035,150,20,3,50,8,0,10221,5,4,0
20,15,164,2278,176,20,3,173,8,5,17266,5,5,0
6,7,126,2605,99,20,3,165,8,1,13516,0,0,0
52,16,127,2596,163,3,3,194,8,5,26398,5,5,0
25,10,126,1057,163,20,3,111,8,1,5412,1,4,0
9,20,126,3868,163,20,3,18,8,0,10093,1,5,0
22,21,280,2605,99,20,3,89,8,0,2880,2,5,0
79,16,126,173,163,20,3,194,8,0,24261,1,4,0
98,16,164,2605,99,24,56,194,8,5,18270,5,5,0
60,19,126,1943,163,20,3,18,8,3,12876,2,4,0
39,16,232,1622,161,20,3,194,8,5,19334,5,5,0
109,21,126,3306,79,20,3,18,8,5,3096,1,4,0
44,30,126,3511,3,20,3,18,8,1,5107,2,4,1
70,29,199,2049,99,20,3,118,8,5,7935,5,5,0
80,20,126,1369,163,20,3,73,8,3,26393,2,4,0
79,29,127,2501,167,23,35,118,8,5,662,5,5,0
22,16,245,2049,99,20,3,194,8,5,24234,2,5,0
106,21,126,1306,99,20,3,194,8,0,15697,0,5,0
20,15,127,1962,62,20,3,81,8,5,8657,5,5,0
92,20,126,2534,163,20,3,201,8,1,14395,2,4,0
62,29,126,1630,119,20,3,160,8,3,24658,5,4,0
20,15,164,875,131,15,43,11,0,5,25436,5,5,0
37,29,126,1414,31,20,3,130,8,0,1509,5,5,0
54,16,280,2208,134,17,35,194,8,0,11294,5,5,0
91,21,126,706,163,3,3,18,8,3,11276,2,4,0
106,8,127,3868,163,20,3,194,8,5,15229,2,5,0
46,10,126,1292,163,20,3,188,8,3,19371,2,5,0
52,16,126,2232,163,20,3,29,8,0,783,1,5,0
20,15,195,2943,167,20,3,69,8,5,3925,5,5,0
16,20,126,3868,163,20,3,165,8,0,14581,0,5,0
20,15,199,3363,163,20,30,81,8,5,3044,5,5,0
55,26,199,2605,99,3,3,194,8,5,2548,5,5,0
20,17,232,69,99,20,30,146,8,5,5507,5,5,0
20,15,199,175,69,20,3,106,8,5,15896,5,5,0
80,20,126,4003,163,20,3,109,8,0,21459,2,4,0
20,15,127,3987,163,20,3,22,8,5,24609,5,5,0
19,20,126,3868,163,20,3,194,8,3,24339,1,3,0
10,16,232,209,0,20,3,200,8,5,19469,5,5,0
79,21,126,3868,163,20,3,148,8,3,24293,1,4,0
109,20,126,2182,163,20,3,128,8,0,22937,2,5,0
41,25,280,3987,163,20,3,200,8,0,6730,5,5,0
112,18,126,1959,163,20,3,111,8,1,12131,1,4,0
104,16,126,778,31,20,3,194,8,0,19106,5,5,0
16,21,126,1109,54,20,3,73,8,3,8462,1,4,0
105,29,126,3110,163,20,3,160,8,3,7065,1,0,0
28,24,164,1661,132,9,3,82,8,5,5841,5,5,0
19,21,126,3831,152,20,3,98,8,1,17246,1,4,0
39,10,126,2921,163,20,3,151,8,1,15978,2,5,0
20,15,18,4173,180,15,24,153,8,5,18993,5,5,0
20,15,127,3242,43,20,3,133,8,5,2233,1,5,0
109,16,117,1292,163,24,56,194,8,5,14376,5,5,0
47,16,126,1845,56,20,3,194,8,0,15456,1,4,0
62,20,164,1385,112,24,56,94,12,5,21530,5,5,0
52,16,126,1306,99,20,3,130,8,0,26077,2,5,0
65,15,127,1541,163,23,35,81,8,5,11300,1,5,0
20,15,127,1369,163,3,3,22,8,5,12324,2,5,0
20,15,164,4164,99,20,30,138,0,5,18461,5,5,0
13,16,126,4085,163,3,3,111,8,0,17420,1,5,0
40,16,126,65,163,20,3,29,8,0,2990,1,5,0
22,15,280,3172,163,17,35,81,8,0,21842,2,4,0
5,25,126,3172,163,20,3,165,8,3,4656,0,5,0
98,15,126,2897,163,3,3,194,8,0,20278,2,5,0
14,16,126,1763,163,20,3,73,8,0,25606,1,5,0
20,15,258,1008,150,15,43,11,0,5,2506,5,5,0
47,21,126,3886,163,20,3,73,8,0,21189,2,4,0
39,21,126,3037,163,20,3,160,8,3,9063,1,4,0
39,25,280,3521,135,20,3,87,8,3,24023,5,4,0
106,16,126,2396,31,20,3,109,8,0,16178,1,5,0
77,21,126,3868,163,20,3,130,8,0,19561,1,5,0
51,8,157,2943,167,20,3,208,13,5,18767,1,5,0
20,15,127,2511,99,20,3,194,8,5,1669,1,5,0
96,30,126,407,91,20,3,151,8,1,13749,1,4,1
102,1,280,2230,163,20,3,87,8,1,13360,0,0,0
20,15,126,2098,163,20,3,81,8,0,4804,1,4,0
13,20,232,3897,163,20,3,6,8,5,1875,5,5,0
16,15,117,1541,163,3,3,6,8,5,13666,5,5,0
35,21,280,2333,167,20,3,118,8,0,17427,5,5,0
69,2,126,2031,163,20,3,87,8,0,1276,1,4,0
35,29,126,3172,163,20,3,165,8,0,15489,5,5,0
74,16,127,156,99,20,3,194,8,5,14513,5,5,0
105,20,126,3868,163,20,3,18,8,0,7081,1,4,0
20,15,280,1813,163,20,3,69,8,1,11986,1,0,0
20,15,280,2943,167,20,3,12,8,0,22875,2,5,0
109,21,280,1107,163,20,3,6,8,1,5331,2,4,0
106,16,126,3868,163,20,3,50,8,3,13275,0,5,0
70,18,199,2460,99,20,3,18,8,5,4512,5,5,0
25,29,126,2230,163,20,3,165,8,1,11411,2,4,0
46,21,126,297,163,20,3,130,8,1,23903,5,0,0
20,15,280,2571,77,20,3,69,8,0,7220,2,4,0
20,15,126,2121,99,20,3,81,8,0,18515,1,5,0
12,2,127,706,163,20,3,194,8,5,5030,2,5,0
90,0,127,3785,99,20,3,111,8,5,22172,1,5,0
100,30,126,1813,163,20,3,128,8,3,12408,1,4,1
77,15,199,3578,77,20,30,208,13,5,22889,5,5,0
20,15,232,190,145,20,30,192,5,5,8903,5,5,0
22,21,126,3868,163,20,3,160,8,0,25986,1,5,0
69,16,199,3868,163,20,3,194,8,5,26230,5,5,0
109,10,280,97,131,20,3,200,8,0,24920,1,4,0
9,21,126,2802,39,20,3,111,8,0,22407,1,4,0
6,8,126,852,142,20,3,194,8,0,19264,1,5,0
102,21,280,2127,163,20,3,57,8,1,19782,2,0,0
53,21,176,4173,180,15,2,194,8,5,17517,5,5,0
51,1,126,3414,104,20,3,109,8,0,14575,2,4,0
70,20,127,3856,125,20,3,194,8,5,800,1,5,0
53,15,126,870,99,20,3,194,8,3,1045,1,5,0
35,16,126,2804,163,20,3,194,8,1,5457,0,5,0
109,30,126,3741,163,20,3,111,8,0,9798,5,5,1
41,16,280,3429,163,20,3,160,8,0,26083,1,4,0
6,10,126,3785,99,20,3,194,8,3,5866,1,0,0
17,20,245,2127,163,20,3,2,8,5,17107,5,5,0
57,20,199,2943,167,20,3,18,8,5,12843,5,5,0
20,15,127,3688,163,20,3,194,8,5,15982,2,5,0
10,23,127,638,99,12,0,61,8,5,5649,1,5,0
24,20,126,1533,163,20,3,18,8,0,7081,1,5,0
111,16,126,2049,99,20,3,194,8,0,24569,1,5,0
106,1,126,2921,163,20,3,151,8,3,25242,0,4,0
111,30,232,2230,163,20,3,87,8,5,24829,5,5,1
97,30,126,2596,163,20,3,18,8,3,8256,1,4,1
20,15,117,1359,163,20,30,69,8,5,16231,5,5,0
37,2,126,716,163,20,3,87,8,3,23274,5,4,0
6,25,126,250,163,20,3,84,8,0,26189,0,5,0
69,20,280,1292,163,20,3,61,8,3,19962,0,0,0
20,15,199,2502,176,20,30,133,8,5,23298,5,5,0
20,15,127,1526,163,20,3,17,8,5,22175,5,5,0
62,21,126,2596,163,20,3,111,8,0,7686,2,4,0
9,30,126,2457,173,20,3,98,8,3,22303,1,0,1
20,15,280,3868,163,17,35,81,8,0,2668,1,4,0
106,20,126,4046,37,20,3,206,8,3,9694,0,5,0
22,23,126,3868,163,20,3,18,8,0,7008,1,4,0
20,17,127,778,31,20,3,176,8,5,6096,5,5,0
70,21,280,4003,163,20,3,87,8,0,17946,1,5,0
17,10,126,2541,142,20,3,111,8,0,25876,2,5,0
25,16,127,2049,99,20,3,130,8,5,13839,1,5,0
35,20,127,2943,167,20,3,186,8,5,11417,2,5,0
54,21,127,3702,99,20,3,73,8,5,5478,5,5,0
111,18,127,3868,163,3,3,26,8,5,19705,0,5,0
65,15,232,4109,99,15,43,20,11,5,16562,5,5,0
77,0,258,3868,163,24,56,194,8,5,3666,1,0,0
5,21,126,3832,163,20,3,87,8,1,6012,1,5,0
53,21,136,2460,99,20,30,194,8,5,26383,5,5,0
91,20,126,2385,163,20,3,194,8,3,22643,1,0,0
105,30,126,1170,163,20,3,109,8,0,9065,1,4,1
55,21,129,4173,121,15,55,187,8,5,1817,5,5,0
14,16,126,1264,31,20,3,194,8,0,20643,5,5,0
51,25,126,2596,163,17,35,35,8,0,7916,0,5,0
13,21,126,3868,163,20,3,194,8,0,12338,1,0,0
14,0,18,4173,180,15,24,194,8,5,14393,5,5,0
20,15,232,3249,150,9,3,133,8,5,23319,5,5,0
103,30,126,2228,163,20,3,29,8,0,18567,2,4,1
13,21,126,1677,147,20,3,6,8,0,6681,1,0,0
32,16,126,3868,163,20,3,201,8,0,22786,1,5,0
7,20,126,2943,167,20,3,73,8,1,7330,5,4,0
20,15,126,1753,163,20,3,81,8,0,20176,1,4,0
5,8,199,3172,163,17,28,35,8,5,3832,5,5,0
91,8,126,2127,163,20,3,18,8,3,24746,1,4,0
25,7,126,3110,163,20,3,160,8,3,26189,2,5,0
37,20,126,3868,163,20,3,130,8,1,3064,2,0,0
74,29,126,1585,99,20,3,165,8,0,9308,2,5,0
69,2,126,2195,163,20,3,84,8,0,21243,1,4,0
54,1,126,2049,99,20,3,151,8,0,13077,2,5,0
46,0,126,331,163,20,3,128,8,0,24790,2,5,0
46,21,199,3495,163,20,3,87,8,5,7502,5,5,0
102,23,136,2760,99,24,56,184,7,5,10991,0,5,0
20,15,127,1038,163,3,3,133,8,5,17444,5,5,0
20,15,126,3868,163,20,3,81,8,3,15791,1,4,0
20,15,232,175,69,20,30,11,0,5,11676,5,5,0
6,20,199,2092,163,20,3,109,8,5,15787,5,5,0
20,15,280,222,138,20,3,173,8,3,14461,0,4,0
46,15,126,3868,163,20,3,194,8,0,23449,1,0,0
25,10,126,4109,99,20,3,128,8,0,9691,5,5,0
52,21,164,1512,165,11,30,194,8,5,22857,5,5,0
20,15,280,647,163,20,3,173,8,0,12420,2,6,0
39,21,258,611,111,9,3,61,8,5,1546,5,5,0
70,21,280,956,45,20,3,57,8,3,18244,1,4,0
91,25,280,50,163,20,3,98,8,0,25469,5,0,0
97,21,126,2816,163,20,3,109,8,3,5167,1,4,0
25,30,280,2816,163,20,3,57,8,3,23904,1,0,1
13,29,280,2121,99,17,35,194,8,0,6588,2,4,0
103,29,127,2195,163,20,3,37,8,5,17453,5,5,0
40,24,126,453,163,20,3,29,8,0,15519,0,5,0
55,16,127,1728,163,20,3,4,8,5,3824,1,5,0
62,1,126,905,163,3,3,73,8,0,24620,1,4,0
41,25,126,2127,163,20,3,109,8,0,17514,5,4,0
13,21,126,1264,31,20,3,194,8,3,13683,1,0,0
60,16,126,2267,163,20,3,29,8,3,4391,0,0,0
109,20,127,301,142,20,3,186,8,5,8979,2,5,0
20,15,117,1915,163,3,30,81,8,5,10270,5,5,0
51,25,126,2127,163,20,3,130,8,1,21671,5,5,0
4,21,126,1186,163,20,3,18,8,0,13200,1,4,0
13,18,126,2921,163,20,3,151,8,1,12182,5,4,0
69,21,245,4148,163,20,3,109,8,5,5311,5,5,0
80,21,199,3868,163,20,3,208,13,5,2545,1,5,0
62,20,126,3688,163,20,3,18,8,0,16996,1,4,0
41,21,126,3035,56,20,3,111,8,0,7666,2,4,0
104,21,126,3445,163,20,3,87,8,1,9936,1,6,0
20,17,199,2028,99,20,3,194,8,5,7323,5,5,0
70,16,258,3868,163,20,30,194,8,5,24227,2,5,0
20,15,137,95,131,15,43,11,0,5,18913,5,5,0
9,10,126,2605,99,20,3,109,8,0,15412,2,4,0
88,20,126,2605,99,20,3,109,8,0,23450,5,5,0
20,15,127,2902,163,3,3,81,8,5,12866,2,5,0
41,21,126,3246,99,20,3,165,8,0,8411,2,5,0
111,16,280,592,99,20,3,194,8,0,16145,5,5,0
37,30,126,2195,163,20,3,111,8,0,21074,2,5,1
74,21,280,2583,167,20,3,4,8,0,5769,2,5,0
20,15,127,2921,163,20,3,81,8,5,5615,2,5,0
28,8,126,767,163,20,3,109,8,0,3774,1,4,0
55,21,126,333,163,20,3,18,8,0,3032,1,4,0
19,29,232,473,167,15,43,128,8,5,10775,5,5,0
40,30,232,3831,152,20,3,87,8,5,19125,5,5,1
62,2,232,1813,163,20,3,2,8,5,20761,5,5,0
54,8,258,483,100,15,43,80,6,5,15906,0,5,0
105,16,280,245,169,20,3,111,8,0,15402,1,5,0
18,21,117,3172,163,20,30,165,8,5,696,5,5,0
7,10,18,4173,180,15,24,194,8,5,19129,5,5,0
20,15,127,2780,163,23,35,97,8,5,20494,2,5,0
98,20,126,905,163,20,3,188,8,3,7157,1,5,0
20,15,280,2534,163,20,3,127,8,0,6275,1,5,0
98,30,126,641,0,20,3,186,8,0,5183,2,5,1
37,21,126,841,176,20,3,109,8,3,15537,0,5,0
96,21,126,339,163,20,3,18,8,3,6861,2,4,0
40,16,164,3868,163,20,3,194,8,5,23717,5,5,0
91,21,232,2049,99,20,3,194,8,5,11646,5,5,0
77,21,126,175,69,20,3,109,8,3,5001,2,5,0
9,20,126,908,163,20,3,165,8,3,21848,5,5,0
20,15,127,1396,99,20,3,126,8,5,11087,1,5,0
62,25,126,778,31,20,3,6,8,0,22812,5,5,0
111,16,136,1306,99,20,3,194,8,5,3685,2,5,0
103,20,126,3868,163,20,3,165,8,1,22532,1,5,0
7,20,126,1243,163,20,3,130,8,0,297,1,5,0
25,20,126,3868,163,20,3,165,8,1,22922,1,4,0
39,30,126,3868,163,20,3,165,8,0,24116,2,5,1
20,15,126,1038,163,20,3,50,8,1,13034,0,0,0
20,15,127,1897,163,3,3,133,8,5,22177,2,5,0
103,16,126,2943,167,20,3,160,8,0,17011,2,5,0
4,20,126,2671,163,20,3,29,8,1,21778,2,5,0
20,15,232,3722,163,20,3,104,8,5,4503,5,5,0
11,30,164,787,164,20,3,165,8,5,19575,5,5,1
55,21,126,1753,163,20,3,87,8,1,12418,1,5,0
112,20,280,3868,163,20,3,98,8,3,24822,1,0,0
28,18,199,2127,163,9,3,165,8,5,7034,5,5,0
70,25,126,1528,0,20,3,194,8,1,17431,0,0,0
61,21,126,1396,99,20,3,87,8,0,8716,2,4,0
10,30,126,1650,99,20,3,6,8,0,16916,2,5,1
57,21,126,318,163,20,3,18,8,0,23252,1,4,0
20,15,278,2049,99,20,30,11,0,5,1944,5,5,0
9,30,232,4032,163,3,3,206,8,5,20114,5,5,1
54,15,164,612,163,24,56,191,8,5,20928,5,5,0
62,18,126,2544,163,20,3,35,8,1,20948,5,4,0
77,29,126,3868,163,20,3,6,8,1,8583,2,0,0
25,21,126,2195,163,20,3,201,8,3,6549,2,5,0
79,20,126,208,163,20,3,109,8,1,25172,5,5,0
104,8,280,3263,99,20,3,109,8,3,50,2,5,0
20,15,199,4136,163,20,30,81,8,5,13013,5,5,0
40,29,126,1501,54,20,3,201,8,3,14938,1,5,0
103,30,232,666,170,20,3,184,7,5,19754,5,5,1
53,21,126,2267,163,20,3,160,8,1,8672,2,5,0
62,20,126,2596,163,20,3,18,8,0,12015,1,0,0
47,15,136,1541,163,20,3,23,8,5,3011,1,5,0
60,15,232,116,43,20,30,159,11,5,15607,5,5,0
6,20,164,407,91,24,56,194,8,5,13450,5,5,0
62,24,126,3521,135,20,3,160,8,3,11343,0,4,0
35,21,126,493,118,3,3,165,8,3,18090,5,4,0
57,20,18,4173,180,15,24,73,8,5,14815,5,5,0
80,16,126,2878,163,20,3,29,8,0,23448,1,5,0
109,20,164,412,163,20,3,84,8,5,5143,5,5,0
4,20,199,2451,163,24,56,130,8,5,14601,5,5,0
9,10,126,778,31,20,3,73,8,3,22544,2,0,0
20,15,127,2943,167,20,3,12,8,5,24580,5,5,0
9,20,257,2195,163,20,3,57,8,5,8791,5,5,0
3,20,126,2921,163,20,3,130,8,0,22222,1,4,0
39,20,126,3956,43,20,3,130,8,1,20143,5,5,0
39,21,232,2789,163,20,3,109,8,5,5534,5,5,0
20,15,126,3521,135,20,3,81,8,3,15184,2,0,0
111,9,126,2534,163,20,3,151,8,3,7159,1,0,0
41,15,126,4119,58,3,3,194,8,0,17078,5,4,0
20,15,280,2831,99,20,3,133,8,0,12057,2,5,0
60,16,127,2943,167,20,3,201,8,5,1089,2,4,0
102,1,126,3698,163,20,3,194,8,0,20421,1,6,0
112,20,280,3079,99,20,3,188,8,1,24811,2,5,0
65,9,126,3987,163,20,3,18,8,3,5039,2,0,0
102,16,127,1265,163,3,3,200,8,5,4024,1,5,0
4,21,127,65,163,3,3,7,8,5,16560,2,5,0
20,15,199,964,163,20,3,17,8,5,16715,5,5,0
20,15,127,1763,163,20,3,81,8,5,14833,2,5,0
77,16,126,3270,25,20,3,194,8,0,23855,1,0,0
46,21,126,2501,167,20,3,206,8,0,1691,2,5,0
5,20,126,1541,163,20,3,29,8,3,5844,1,4,0
20,15,199,706,163,20,3,106,8,5,14786,5,5,0
16,16,126,1527,99,20,3,18,8,1,3088,1,5,0
20,15,280,3868,163,24,56,133,8,0,1298,5,4,0
16,25,280,2943,167,17,28,206,8,0,9023,5,5,0
3,11,72,4173,121,5,22,151,8,5,8270,5,5,0
20,15,258,2049,99,20,3,60,7,5,17261,5,5,0
57,21,126,2459,54,20,3,50,8,1,5379,2,4,0
46,20,126,2605,99,20,3,109,8,1,24687,2,4,0
20,15,164,3341,99,20,30,80,6,5,24894,5,5,0
25,25,199,2504,163,20,3,109,8,5,18888,5,5,0
20,15,126,2902,163,20,3,81,8,0,20681,1,4,0
37,10,126,2780,163,20,3,194,8,1,12069,2,0,0
98,21,126,2596,163,20,3,98,8,0,13241,0,5,0
20,15,126,2067,99,20,3,81,8,0,3224,5,5,0
7,20,199,2127,163,20,3,23,8,5,12710,5,5,0
62,18,126,3521,135,20,3,109,8,1,6740,2,0,0
3,23,126,2605,99,20,3,151,8,0,4533,2,5,0
4,16,127,3670,99,5,38,194,8,5,19754,1,5,0
21,18,126,3477,5,20,3,29,8,0,7898,2,4,0
100,29,126,2589,99,20,3,18,8,3,26384,2,4,0
20,15,280,2195,163,20,3,43,8,0,5889,1,4,0
20,15,195,2882,163,20,3,133,8,5,3758,5,5,0
20,15,280,3683,3,20,3,47,8,1,17531,1,4,0
17,21,126,359,163,20,3,160,8,3,18914,2,4,0
103,26,126,854,99,20,3,18,8,0,9230,0,4,0
20,15,280,3350,163,20,3,133,8,0,3847,1,4,0
52,29,232,961,163,3,3,188,8,5,19215,5,5,0
5,30,126,681,163,20,3,50,8,3,17455,2,0,1
80,30,19,278,99,9,3,87,8,5,12712,5,5,1
51,30,127,2195,163,3,3,194,8,5,4427,2,5,1
54,28,127,778,31,20,3,169,8,5,6448,1,5,0
102,29,199,2323,113,22,42,130,8,5,4963,5,5,0
54,21,126,2718,163,20,3,130,8,3,19786,1,4,0
20,15,127,2155,163,3,3,104,8,5,9591,2,5,0
19,29,232,2943,167,24,56,48,8,5,16051,5,5,0
20,15,192,4173,180,15,14,5,9,5,25642,5,1,0
25,16,126,297,163,20,3,18,8,0,21554,1,5,0
20,15,127,3922,163,20,3,185,8,5,1840,2,5,0
17,20,126,2121,99,20,3,165,8,1,3716,0,5,0
9,15,127,3868,163,20,3,194,8,5,3283,1,5,0
20,15,127,2137,176,3,3,14,8,5,12136,2,5,0
40,30,126,1668,163,20,3,73,8,3,18996,1,4,1
20,15,280,1622,161,20,3,22,8,0,17120,1,5,0
32,21,126,2127,163,20,3,109,8,0,15469,1,5,0
74,30,126,3901,0,20,3,87,8,0,24325,0,4,1
20,15,126,1541,163,20,3,81,8,0,9846,2,4,0
65,16,126,3922,163,20,3,194,8,0,7644,1,4,0
102,21,199,2258,163,20,3,59,8,5,18416,5,5,0
105,18,126,2936,163,20,3,165,8,3,7612,2,5,0
10,23,126,301,142,20,3,18,8,3,20592,2,5,0
12,15,280,1157,175,17,35,194,8,0,23611,5,5,0
20,15,195,1197,163,20,3,81,8,5,14507,5,5,0
105,29,126,3868,163,20,3,188,8,3,21614,1,4,0
4,20,199,2127,163,20,3,111,8,5,5680,5,5,0
24,21,126,3172,163,20,3,26,8,3,771,2,5,0
103,25,280,3133,131,20,3,6,8,0,14850,5,5,0
95,21,126,1753,163,17,35,87,8,1,11754,2,4,0
98,21,126,3868,163,20,3,109,8,1,1346,2,0,0
91,25,126,2108,37,20,3,109,8,0,13062,5,5,0
51,16,126,2127,163,20,3,109,8,0,1077,0,5,0
